token_address,token_symbol,token_label,token_decimals
0xc3344870d52688874b06d844e0c36cc39fc727f6,ankrAVAX,avax-lst,18
0xc891eb4cbdeff6e073e859e987815ed1505c2acd,EURC,eur-stable,6
0xbc78d84ba0c46dfe32cf2895a19939c86b81a777,SolvBTC,btc,18
0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,WETH.e,eth,18
0x33c8036e99082b0c395374832fecf70c42c7f298,PRIME,eco,18
0xd586e7f844cea2f87f50152665bcbc2c279d8d70,DAI.e,usd-stable,18
0x59414b3089ce2af0010e7523dea7e2b35d776ec7,YAK,eco,18
0x8729438eb15e2c8b576fcc6aecda6a148776c0f5,QI,eco,18
0x00000000efe302beaa2b3e6e1b18d08d69a9012a,AUSD,usd-stable,6
0xd24c2ad096400b6fbcd2ad8b24e7acbc21a1da64,FRAX,usd-stable,18
0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,eco,18
0xf7d9281e8e363584973f946201b82ba72c965d27,yyAVAX,avax-lst,18
0xabe7a9dfda35230ff60d1590a929ae0644c47dc1,aUSD,usd-stable,18
0xd402298a793948698b9a63311404fbbee944eafd,SHRAP,eco,18
0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,WAVAX,avax,18
0x2b2c81e08f1af8835a78bb2a90ae924ace0ea4be,sAVAX,avax-lst,18
0x5c5e384bd4e36724b2562ccaa582afd125277c9b,ARROW,eco,18
0x420fca0121dc28039145009570975747295f2329,COQ,eco,18
0x62edc0692bd897d2295872a9ffcac5425011c661,GMX,eco,18
0xcc0966d8418d412c599a6421b760a847eb169a8c,SolvBTC.BBN,btc,18
0xb279f8dd152b99ec1d84a489d32c35bc0c7f5674,STEAK,eco,18
0xa25eaf2906fa1a3a13edac9b9657108af7b703e3,ggAVAX,avax-lst,18
0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,USDC.e,usd-stable,6
0x6985884c4392d348587b19cb9eaaf157f13271cd,ZRO,eco,18
0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USDC,usd-stable,6
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,USDt,usd-stable,6
0x69260b9483f9871ca57f81a90d91e2f96c2cd11d,GGP,eco,18
0xaaab9d12a30504559b0c5a9a5977fee4a6081c6b,PHAR,eco,18
0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,BEAM,eco,18
0xb2f85b7ab3c2b6f62df06de6ae7d09c010a5096e,XSGD,sgd-stable,6
0xc7198437980c041c805a1edcba50c1ce5db95118,USDT.e,usd-stable,6
0x093783055f9047c2bff99c4e414501f8a147bc69,ALOT,eco,18
0x152b9d0fdc40c096757f570a51e494bd4b943e50,BTC.b,btc,8
0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,STG,eco,18
0x0555e30da8f98308edb960aa94c0db47230d2b9c,WBTC,btc,8
0x50b7545627a5162f82a992c33b87adc75187b218,WBTC.e,btc,8
0x60781c2586d68229fde47564546784ab3faca982,PNG,eco,18
